rank,Youtuber,subscribers,channel_type,video_views_rank
431,TheOdd1sOut,19100000,Comedy,1568
432,Goldmines Great Indian Comedy,19100000,Film,1279
433,Lil Nas X,19100000,Music,966
434,ýýýýýýýýýýýýýý ýýýý,19000000,Entertainment,1399
435,SUPER SLICK SLIME SAM,19000000,Howto,786
436,Wow Kidz Action,19000000,Entertainment,618
437,Turma da Mï¿½ï¿½,19000000,Film,260
438,Calvin Harris,19000000,Music,191
439,KBS WORLD TV,19000000,Entertainment,217
440,HiMan,18900000,Entertainment,3094
441,Masha e o Urso,18900000,nan,4057944
442,Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,Education,459
443,TED-Ed,18800000,Education,2163
444,Sidemen,18800000,Entertainment,1263
445,Cardi B,18800000,nan,4054469
446,Busy Fun Ltd,18800000,nan,4057882
447,Farruko,18800000,Music,485
448,ýýýýýýýýýýýýýýýýýýýýýý,18800000,Entertainment,483
449,Triggered Insaan,18800000,People,2508
450,CKN,18700000,Music,3188353
451,Ali-A,18700000,People,4053443
452,Shemaroo Comedy,18600000,Comedy,1033
453,Smile Family Spanish,18600000,Entertainment,830
454,GRAMMY GOLD OFFICIAL,18600000,Music,121
455,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,18600000,Games,566
456,Dan-Sa / Daniel Saboya,18500000,Music,45213
457,Marmok,18500000,Games,2356
458,The ACE Family,18500000,People,1572
459,Like Nastya Vlog,18500000,People,630
460,Willie Salim,18500000,People,1868
461,PDK Films,18400000,Entertainment,1825
462,TheWillyrex,18400000,Games,825
463,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,Music,346
464,Dhar Mann,18400000,nan,4057944
465,shakiraVEVO,18400000,Music,72
466,Naisa Alifia Yuriza (N.A.Y),18300000,Entertainment,6502
467,Miley Cyrus,18300000,Entertainment,696
468,IShowSpeed,18300000,Games,6734
469,Good Mythical Morning,18300000,nan,3612215
470,Bobby chourasiya,18200000,People,452
471,INCRï¿½ï¿,18200000,Howto,2610
472,Jake Fellman,18100000,Entertainment,274
473,GEN HALILINTAR,18100000,Entertainment,2498
474,SQUEEZIE,18100000,Entertainment,443
475,Blippi - Educational Videos for Kids,18100000,Education,224
476,officialpsy,18100000,Music,393
477,Ajay Sharma,18100000,nan,4057944
478,Manual do Mundo,18000000,Tech,1922
479,How Ridiculous,18000000,Sports,478
480,And TV,18000000,Entertainment,4012108
481,Sebastiï¿½ï¿½ï¿½,18000000,Music,406
482,SonyMusicSouthVEVO,18000000,Music,148
483,TheGrefg,18000000,Games,950
484,BeatboxJCOP,18000000,Entertainment,539
485,David Dobrik,17900000,People,801
486,KatieAngel,17900000,Music,2014
487,RobleisIUTU,17900000,Games,1294
488,Lele Pons,17900000,Entertainment,1264
489,Demi Lovato,17900000,Music,858
490,Like Nastya VNM,17900000,Entertainment,455
491,Jason Derulo,17900000,Music,446
492,MGC Playhouse,17900000,Education,187
493,Zuni and Family,17900000,People,4057766
494,Priyal Kukreja,17800000,People,378
495,MSA previously My Story Animated,17800000,People,3976090
496,ýýýýýýýýý KIMPRO,17700000,People,125
497,Jane ASMR ï¿½ï¿½,17700000,People,762
498,ArianaGrandeVevo,17700000,Music,122
499,jaanvi patel,17700000,People,671
500,tanboy kun,17700000,Entertainment,2169
501,Lil Pump,17700000,Music,1785
502,Porta dos Fundos,17700000,Entertainment,705
503,News 24,17700000,News,880
504,Les' Copaque Production,17700000,Entertainment,531
505,El Payaso Plim Plim,17700000,Music,162
506,zbing z.,17600000,Games,511
507,MissaSinfonia,17600000,Comedy,4139
508,ýýýýýýýýý Liziqi,17600000,Howto,2917
509,The Game Theorists,17600000,nan,3612215
510,DeGoBooM,17600000,Games,973
511,JFlaMusic,17600000,Music,2056
512,FactTechz,17500000,Entertainment,4243
513,News18 India,17500000,News,770
514,Fun For Kids TV - Hindi Rhymes,17500000,Entertainment,723
515,IGN,17500000,Games,189
516,Aphmau,17400000,Games,152
517,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,News,286
518,ýýýýýýýýýýýýýýýý - Al-Remas,17400000,Music,371
519,Koray Zeynep,17400000,People,173
520,Apple,17300000,Tech,11274
521,Stubborn Facts,17300000,Entertainment,13315
522,Taarak Mehta Ka Ooltah Chashmah,17300000,Entertainment,356
523,HowToBasic,17300000,Howto,2146
524,PopularMMOs,17200000,Games,240
525,Marques Brownlee,17200000,Tech,2196
526,Anitta,17200000,Music,769
527,Jason Vlogs,17200000,People,4031958
528,El Reino a Jugar,17200000,Education,353
529,Willyrex,17200000,Games,1359
530,TheBrianMaps,17100000,Entertainment,1624
531,TRANS TV Official,17100000,Entertainment,472
532,Liza Koshy,17100000,Entertainment,4443
533,Queen Official,17000000,Music,385
534,Prajapati News,17000000,Entertainment,11662
535,Gaby and Alex,17000000,People,4057752
536,LuisFonsiVEVO,17000000,Music,241
537,Pop Chartbusters,16900000,Music,574
538,Guava Juice,16900000,Entertainment,527
539,EeOneGuy,16900000,Entertainment,2039
540,VICE,16900000,Entertainment,1543
541,Aayu and Pihu Show,16900000,People,510
542,Danny Fitt,16900000,Entertainment,488
543,Bispo Bruno Leonardo,16900000,Nonprofit,2307
544,DeToxoMoroxo,16800000,Music,4056488
545,Doggy Doggy Cartoons,16800000,nan,4057944
546,deepesh zo,16800000,People,4038822
547,Like Nastya IDN,16800000,Entertainment,795
548,Gato Galactico | GALï¿½ï¿,16800000,Entertainment,2129
549,Salman Noman,16700000,nan,4057674
550,CoryxKenshin,16700000,Games,814
551,With Kids[ï¿½ï¿½ï¿½ï¿½ï,16700000,Entertainment,559
552,Travis Scott,16700000,Music,564542
553,Tu COSMOPOLIS,16700000,People,1337
554,Ivana Alawi,16600000,People,8338
555,Werever2morro,16600000,Games,4057944
556,IDEAS EN 5 MINUTOS,16600000,nan,3108857
557,NMF News,16600000,News,749
558,SriBalajiMovies,16600000,Entertainment,497
559,Lahari Music - TSeries,16600000,Music,326
560,Younes Zarou,16600000,Entertainment,213
561,Jordan Matter,16600000,Entertainment,1088
562,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,16500000,Entertainment,3778
563,FailArmy,16500000,Entertainment,2766
564,BBC News Hindi,16500000,News,821
565,FunFun Toy Doll TV,16500000,Entertainment,757
566,Sandra Cires Art,16400000,Entertainment,1938
567,Kaykai Salaider,16400000,Entertainment,1636
568,UFC - Ultimate Fighting Championship,16400000,Sports,806
569,Ch7HD,16400000,Entertainment,496
570,RCTI - LAYAR DRAMA INDONESIA,16400000,People,4057943
571,Alfredo Larin,16400000,Entertainment,4057780
572,GMMTV OFFICIALï¿½ï¿½,16400000,Entertainment,294
573,Matt Stonie,16300000,Entertainment,283499
574,Boyce Avenue,16300000,Music,913
575,Camila Cabello,16300000,Music,906
576,Little Mix,16300000,Music,740
577,SAM SMITH,16300000,Entertainment,428
578,Pitbull,16300000,Music,308
579,Bollywood Classics,16300000,Music,804
580,Technoblade,16300000,Games,6274
581,W2S,16300000,Entertainment,1455
582,Jennifer Lopez,16200000,Music,426
583,Kids Play,16200000,Entertainment,636
584,T3ddy,16200000,People,2898
585,JJ Olatunji,16200000,Entertainment,1856
586,POPS Kids,16200000,Film,462
587,Thairath Online,16200000,News,238
588,LEGO,16200000,Entertainment,116
589,XO TEAM,16200000,People,153622
590,AdMe,16200000,Music,4048675
591,ExtraPolinesios,16200000,People,3945744
592,Dyland PROS,16100000,Games,6986
593,Live,16100000,nan,4057944
594,Vlad and Niki ARA,16100000,Entertainment,759
595,Canal IN,16100000,Entertainment,3338
596,TWICE,16100000,Music,1343
597,Daily Dose Of Internet,16100000,Entertainment,851
598,FitDance,16100000,Entertainment,4006012
599,Panda Shorts,16100000,Sports,792
600,Disney Junior,16100000,Entertainment,196
601,La Rosa de Guadalupe,16100000,Games,4057944
602,sagar kalra (Shorts),16000000,People,921
603,wifistudy,16000000,Education,2855
604,Antrax,16000000,Games,2844
605,Enes Batur,16000000,Games,4057944
606,Totoy kids - Espaï¿½ï,16000000,Film,1048
607,ýýýýýýýýýý,15900000,Games,4057944
608,DopeLyrics,15900000,Music,444
609,jeffreestar,15900000,Howto,3474
610,Lyna,15900000,Games,919
611,MK MUSIC,15900000,Music,516
612,Unspeakable,15900000,People,530
613,Camilo,15900000,Music,871
614,Dear Sir,15800000,Education,8066
